state;aqi;accommodation;construction;education;finance;healthcare;information;manufacturing;mining;professional;retail;transportation;utilities;waste;precipitations;lockdown;pop_rural;n_factories
Alabama;81.60;5046.9;8877;1307.4;38498.3;16411.5;4533.6;38015.7;1594.9;23465.6;15636.7;5616.5;6223.4;6292.5;57.69;1;40.96;3708
Alaska;71.56;1229.2;2116.8;187;7017;4243.1;1065.8;1757.4;4836.9;3307;2418.8;6775.3;903.9;1077.7;;1;33.98;455
Arizona;128.23;11838.1;19472.8;4093;88560.5;31733.3;13633.6;31112.1;3930.3;42498.1;27683.3;10838;7166.8;16676.3;13.64;1;10.19;4058
Arkansas;95.18;3311.3;5381.3;835.6;21694.5;11340.6;2338.3;18699.8;732.5;14306.6;9526.7;4766.8;3814.6;3738;67.35;0;43.84;2264
California;197.81;75226.4;119640.3;32036.1;717262.7;190895.2;312657.4;316277.2;5145.1;419337.6;158210.5;76104.5;41798.4;90310.9;25.95;1;5.05;35321
Colorado;103.64;11625.4;23593.9;3406.2;84050.5;23793.6;25661;26614.5;8360.5;59940.2;21467.1;12814.2;4419.1;12067;18.25;1;13.85;4871
Connecticut;98.13;5454.5;8381.4;6557.2;85659.4;22221.2;17257.5;29145.1;135.4;33166.2;14454.6;4835.7;4809.4;7482.8;50.06;1;12.01;3796
Delaware;77.0;1373.9;3114.6;426.3;34393.7;5595;1007.6;4483.2;NA;8428.2;2993.1;1067.3;1098.3;1918;40.77;1;16.7;528
District of Columbia;166.00;3836.7;1763.1;4820;17970.1;6593.9;8478.6;298;0;35233.5;1765.1;313.9;1429.7;3535.2;;1;0;115
Florida;98.23;40131;62080.9;10771.4;265904.7;91922;42782.6;58907.9;971.6;143483.7;81635;34986.6;19556.5;43177.4;49.66;1;8.84;12557
Georgia;94.76;14574;27747.3;6902.9;140816.2;39801.6;46215;59480.1;939.6;79262.5;35314.8;22421.1;11639.4;21872.5;47.85;1;24.93;6603
Hawaii;59.25;6204.2;5579.4;903.6;22106;6520;1861.2;1448;58.4;7497.1;6301.2;4388.8;1984.3;2610.5;;1;8.07;747
Idaho;85.71;2310.9;5954.8;682.4;15924.5;6883.9;1557.7;9254.6;150.9;8915.9;6625.4;2109.2;1491;3151.8;25.15;1;29.42;1783
Illinois;106.04;20154.9;29722.8;12813.3;210929.5;61974.5;31211.4;102641.5;1089.8;118655.3;46381.3;30501.9;14320.4;29664.9;50.92;1;11.51;12077
Indiana;100.81;8716.7;15707.5;3801.6;62967.6;31481.5;6208.2;97306.8;827.4;32448.4;21384.9;11609.7;7076.2;10918.8;50.67;1;27.56;7062
Iowa;94.50;3573.6;8005.5;1765.1;48184.9;12390.9;4722.4;33646.1;308.9;12863.5;10395.7;5415.5;3534.6;3788.7;41.72;0;35.98;2964
Kansas;94.91;3437.6;6840.6;1111.6;32642.4;13075;7218.4;27499.5;592.4;18587;10737.2;6038.7;2947.5;4991.5;36.32;1;25.8;2507
Kentucky;82.19;5352.9;9585.1;1440.1;35387.7;18569.9;4784;37461.3;1144.5;17978.4;12880.1;9026.1;4022.1;6403.1;61.06;0.5;41.62;3234
Louisiana;96.09;7187.5;12425.9;2599.7;39661.3;16851.8;4814.3;47961.3;6658;21459.2;17186.3;8153.8;5599.9;6696.9;63.72;1;26.81;2854
Maine;84.50;2428.2;2619.6;1063.1;14322.1;7768.2;1195.5;6234.7;18.3;7281.9;5503.5;1212.4;1204.5;1963.9;47.84;1;61.34;1620
Maryland;83.12;10177;19428;6636.4;97222.3;30947.3;16257.2;25422.8;285.2;60027.4;21336.6;7884.4;7355.7;12651.4;42.49;1;12.8;2796
Massachusetts;89.69;14333.9;22232.2;16942.5;142260.1;52358.2;32792.2;53676.1;169.9;108401;24218.9;9299.7;8106.7;15966.5;49.27;0.5;8.03;6119
Michigan;114.11;11303.3;22477.4;3950.3;97206.5;44489.5;13702.2;92229.8;1397.4;67610.9;32419.5;13397.9;10251.9;16102.5;42.38;1;25.43;11265
Minnesota;76.71;7463;16183.6;3795.8;79549.9;35924.9;12265.2;50754.1;2737.3;48964.8;21073.6;10694.4;5764;9194.6;35.89;1;26.73;6541
Mississippi;82.00;3983.8;4474.5;832.3;17912.3;8820.1;2451.5;18264.8;512.7;8257.4;9443.7;3957.4;3654.5;3073.2;70.32;1;50.65;1894
Missouri;104.46;8183.6;12995.9;4190.9;63464.5;29881.1;11627.9;37971.9;696.2;43423.7;19910.7;9667.7;5552;10000.4;55.21;1;29.56;5250
Montana;71.53;1686.4;3224.5;280;10407.9;5258.4;1156.3;3124.1;1516;4074.2;3437.2;1975.5;1208.3;1150.9;21.57;1;44.11;1291
Nebraska;90.67;2438.5;3787.1;1025.3;29977.8;9735.5;4015.4;13541;159.9;11863.8;6886.4;8535.8;2936.6;3480.8;31.71;0;26.87;1565
Nevada;109.78;19993.6;10171.9;871.3;39212.1;11094.3;4818.8;8808.6;3244.4;19068;12659.5;7104.3;2512.5;5926.3;13.19;1;5.8;1762
New Hampshire;67.14;2579.7;2880.1;2029.1;19430.3;8012.3;3515.2;9681.5;49.1;11404.9;5817.7;1186.9;1435.6;3063.6;47.59;1;39.7;1705
New Jersey;86.88;11515;24038;7617.7;136296.4;50016.2;29051.8;53287.6;267.7;104803.7;37691.5;20825.9;10066.2;23458.8;49.37;1;5.32;6988
New Mexico;100.00;3139.4;4161.3;580;17482.1;7644.7;2374;4415.1;6560.8;11506.3;5963.4;2434.1;1774.3;2966.2;13.35;1;22.57;1281
New York;89.00;31344.2;48787.2;35312;593416.7;123455.6;155979.1;66643.8;628.4;216181.7;71157.2;30045.8;23820;40948.3;46.52;1;12.13;14788
North Carolina;77.71;13773.4;23623;7585.2;124551.5;38486.7;20341.3;98755.4;434.7;72353.7;31789.1;13216.6;9004.4;19393.1;51.66;1;33.91;7792
North Dakota;68.30;1152;3182.9;209;9636.1;4713;1419.4;4045.8;3886.3;3210;3128.9;2423.6;1468.9;838.6;24.35;0;40.1;627
Ohio;98.19;13873.2;27195.9;6012.1;148348.7;59456;17938.3;106918.1;6728.1;78782.3;40764.7;19368.7;11163.2;20076.3;46.97;1;22.08;12371
Oklahoma;102.10;4987.9;7240.8;1067.7;28070.1;14402.7;5759.3;17572.9;11694.4;17873.7;12143.5;11358.1;3983.4;6142.6;46.47;0.5;33.76;3034
Oregon;91.87;6774.4;12462.2;2000.1;54744.4;21258.4;9854.6;33442.8;197.5;31210.5;13125.1;6394.9;3136.2;7105.6;33.29;1;18.97;5195
Pennsylvania;87.71;15191.8;34903;18991.8;153995.7;77886.3;50325.3;89208.7;10155.3;103988.8;40512.6;27349.7;12799.2;20567.8;49.54;1;21.34;12262
Rhode Island;133.00;2017.3;2598.4;1964.1;14818.6;6016.1;1403.5;4889;NA;7686.7;3483.8;890.4;953.2;1908;52.19;1;9.27;1299
South Carolina;83.73;8299.8;12961.2;1790;43315.1;15349.1;7571.7;38705.3;289.5;26227.9;16537.8;5118;5655.1;9450.7;46.55;1;33.67;3429
South Dakota;82.40;1484.9;2308.4;345.9;15067.3;5218.7;1414;5085;91.9;3368.3;3725.4;1048.3;966.6;853.9;31.32;0.5;43.35;958
Tennessee;87.43;11491.7;15819;4031.8;66415.7;35188.2;11125;52655.9;588.2;43668.2;25436.8;15081.3;2330.9;14518.3;67.86;1;33.61;5229
Texas;108.96;43744.2;96126.7;13723.4;308491.7;111341.2;64191.4;231101.3;89481.1;222183.3;100865;59363.9;30390.5;61308.9;27.31;1;15.3;17522
Utah;131.93;4432.8;13505.1;3092.3;45984.8;10932;10091;20205.4;1902.9;21590.5;13961.2;6125.3;2526.8;5626;16.2;0.5;9.42;3206
Vermont;65.75;1501.9;1124.3;904.4;6375.8;3645;888.4;2979.1;110.3;3636.3;2558.3;486.4;684.9;921.2;49.13;1;61.1;979
Virginia;59.35;12178.8;23577.4;5402.8;112214;33954.9;18884.7;44567;1000.3;108249.7;28431.6;13118;8265;19959.6;46.01;1;24.55;4570
Washington;72.50;14486.7;26667.1;3123.4;112351.6;36440;96769.6;60771.6;267.2;64850.9;56470.6;14403.4;5173.2;16443.8;39.04;1;15.95;6589
West Virginia;77.13;2053.9;3545.1;453.8;10875.9;8317.8;1442.1;7778.7;4784.8;6231.6;5357.6;1864.6;2269.5;1999.1;48.06;1;51.28;1035
Wisconsin;116.45;6696.9;14999.4;3694.1;71454.9;29363.6;12178.8;62326.5;996.3;32775.4;19837.5;8789.1;5565.6;8027.3;44.46;0.5;29.85;7722
Wyoming;148.22;1210.9;2274.1;128.7;5743.1;1766.2;627.8;2112.5;4099.5;2003.1;2242.4;3465.3;1066.6;562.6;18.45;0.5;35.24;547
